rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_add_amount,reprt_label,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,BS,재무상태표,유동자산,제 22 기1분기말,2020.03.31 현재,"6,533,603,337,706",제 21 기말,2019.12.31 현재,"5,643,714,459,664",1,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,BS,재무상태표,비유동자산,제 22 기1분기말,2020.03.31 현재,"7,232,430,519,335",제 21 기말,2019.12.31 현재,"6,655,812,661,122",3,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,BS,재무상태표,자산총계,제 22 기1분기말,2020.03.31 현재,"13,766,033,857,041",제 21 기말,2019.12.31 현재,"12,299,527,120,786",5,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,BS,재무상태표,유동부채,제 22 기1분기말,2020.03.31 현재,"4,097,111,757,227",제 21 기말,2019.12.31 현재,"3,773,118,830,740",7,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,BS,재무상태표,비유동부채,제 22 기1분기말,2020.03.31 현재,"2,213,685,558,800",제 21 기말,2019.12.31 현재,"2,022,482,221,466",9,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,BS,재무상태표,부채총계,제 22 기1분기말,2020.03.31 현재,"6,310,797,316,027",제 21 기말,2019.12.31 현재,"5,795,601,052,206",11,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,BS,재무상태표,자본금,제 22 기1분기말,2020.03.31 현재,"16,481,339,500",제 21 기말,2019.12.31 현재,"16,481,339,500",13,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 22 기1분기말,2020.03.31 현재,"5,802,449,125,381",제 21 기말,2019.12.31 현재,"5,712,091,453,142",17,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,BS,재무상태표,자본총계,제 22 기1분기말,2020.03.31 현재,"7,455,236,541,014",제 21 기말,2019.12.31 현재,"6,503,926,068,580",21,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,IS,손익계산서,매출액,제 22 기1분기,2020.01.01 ~ 2020.03.31,"1,732,064,462,097",제 21 기1분기,2019.01.01 ~ 2019.03.31,"1,510,861,770,282",23,KRW,"1,732,064,462,097","1,510,861,770,282",Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,IS,손익계산서,영업이익,제 22 기1분기,2020.01.01 ~ 2020.03.31,"221,495,078,328",제 21 기1분기,2019.01.01 ~ 2019.03.31,"206,244,504,954",25,KRW,"221,495,078,328","206,244,504,954",Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 22 기1분기,2020.01.01 ~ 2020.03.31,"253,869,866,940",제 21 기1분기,2019.01.01 ~ 2019.03.31,"189,790,941,232",27,KRW,"253,869,866,940","189,790,941,232",Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 22 기1분기,2020.01.01 ~ 2020.03.31,"134,874,581,865",제 21 기1분기,2019.01.01 ~ 2019.03.31,"87,585,903,290",29,KRW,"134,874,581,865","87,585,903,290",Q1,,,
20200515002472,11013,2020,00266961,035420,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 22 기1분기,2020.01.01 ~ 2020.03.31,"134,874,581,865",제 21 기1분기,2019.01.01 ~ 2019.03.31,"87,585,903,290",61,KRW,"134,874,581,865","87,585,903,290",Q1,,,
20200515002472,11013,2020,00266961,035420,OFS,재무제표,BS,재무상태표,유동자산,제 22 기1분기말,2020.03.31 현재,"1,044,023,184,863",제 21 기말,2019.12.31 현재,"880,761,992,755",2,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,OFS,재무제표,BS,재무상태표,비유동자산,제 22 기1분기말,2020.03.31 현재,"5,950,738,333,483",제 21 기말,2019.12.31 현재,"5,790,825,341,027",4,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,OFS,재무제표,BS,재무상태표,자산총계,제 22 기1분기말,2020.03.31 현재,"6,994,761,518,346",제 21 기말,2019.12.31 현재,"6,671,587,333,782",6,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,OFS,재무제표,BS,재무상태표,유동부채,제 22 기1분기말,2020.03.31 현재,"1,049,880,194,444",제 21 기말,2019.12.31 현재,"908,932,799,608",8,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,OFS,재무제표,BS,재무상태표,비유동부채,제 22 기1분기말,2020.03.31 현재,"237,391,509,130",제 21 기말,2019.12.31 현재,"233,107,661,265",10,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,OFS,재무제표,BS,재무상태표,부채총계,제 22 기1분기말,2020.03.31 현재,"1,287,271,703,574",제 21 기말,2019.12.31 현재,"1,142,040,460,873",12,KRW,,,Q1,,,
20200515002472,11013,2020,00266961,035420,OFS,재무제표,BS,재무상태표,자본금,제 22 기1분기말,2020.03.31 현재,"16,481,339,500",제 21 기말,2019.12.31 현재,"16,481,339,500",15,KRW,,,Q1,,,
